id,name,class,priority,special,requiredMod,notes
farming,Farming,exerelin.world.industry.Farming,2,,,
mining,Mining,exerelin.world.industry.Mining,3,,,
techmining,Tech-Mining,exerelin.world.industry.TechMining,1,,,
refining,Refining,exerelin.world.industry.Refining,1,,,
lightindustry,Light Industry,exerelin.world.industry.LightIndustry,1,,,
heavyindustry,Heavy Industry,exerelin.world.industry.HeavyIndustry,1,,,
fuelproduction,Fuel Production,exerelin.world.industry.FuelProduction,1,,,
none,No Industry,exerelin.world.industry.NullIndustry,1,,,
militarybase,Military Base,exerelin.world.industry.MilitaryBase,0,,,"currently not generated as an economic industry, it's added elsewhere; this just prevents crashes if someone uses it"
commerce,Commerce,exerelin.world.industry.Commerce,,TRUE,,
waystation,Waystation,exerelin.world.industry.Waystation,,TRUE,,
cryosanctum,Cryosanctum,exerelin.world.industry.Cryosanctum,,TRUE,,
ms_medCenter,Med Center,exerelin.world.industry.MedCenter,,TRUE,shadow_ships,
ms_supersolar,Massive Solar Collectors,exerelin.world.industry.SuperSolar,,TRUE,shadow_ships,
ii_interstellarbazaar,Interstellar Bazaar,exerelin.world.industry.ImperialBazaar,,TRUE,Imperium,
#IndEvo_AdAssem,Variable Assembler,exerelin.world.industry.deconomics.VariableAssembler,,TRUE,IndEvo,
IndEvo_ScrapYard,Salvage Yards,exerelin.world.industry.deconomics.SalvageYards,1,,IndEvo,
IndEvo_pirateHaven,Privateer Base,exerelin.world.industry.deconomics.PrivateerBase,,TRUE,IndEvo,
IndEvo_dryDock,Restoration Docks,exerelin.world.industry.deconomics.RestorationDocks,,TRUE,IndEvo,
IndEvo_Academy,Academy,exerelin.world.industry.deconomics.Academy,,TRUE,IndEvo,
IndEvo_senate,Senate,exerelin.world.industry.deconomics.Senate,,TRUE,IndEvo,
IndEvo_ReqCenter,Requisitions Center,exerelin.world.industry.deconomics.RequisitionsCenter,,TRUE,IndEvo,
victourism,Trade & Tourism,exerelin.world.industry.vic.Tourism,,TRUE,vic,
vicbiolabs,Bio Research Complex,exerelin.world.industry.vic.BioLabs,,TRUE,vic,
vic_revCenter,VIC Revitalization Center,exerelin.world.industry.vic.RevCenter,,TRUE,vic,
